Epoch,Train Loss,Validation Loss
1,1.774241542405739,1.0638108057697324
2,1.04493209668355,0.8233911151433513
3,0.7701649295518842,0.702824058867719
4,0.6152147697357692,0.651265555870359
5,0.5082346859019313,0.6114016695723047
6,0.43465184297919834,0.5961306018442133
7,0.38138558488216756,0.5866261090892945
8,0.3427696207506183,0.5841310150431891
9,0.3181109329297882,0.5796348929785899
10,0.300440257249024,0.5795629009821989
